出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1131017","11309","1537","廣隆","電機機械","706926","772132","534044","-8.444929105386125","32.37223899154377","6059568","4663322","29.941016296965984","-"
"1131017","11309","1538","正峰","電機機械","7790","10850","14900","-28.202764976958527","-47.718120805369125","75318","159074","-52.652224750744935","減少低毛利接單，部份客戶訂單減少"
"1131017","11309","1539","巨庭","電機機械","84391","142762","150541","-40.88693069584343","-43.94151759321381","1045452","1101543","-5.092039076095985","-"
"1131017","11309","1540","喬福","電機機械","29278","39399","26831","-25.68846925048859","9.120047706011702","424807","377041","12.668648767640654","-"
"1131017","11309","1541","錩泰","電機機械","216247","265602","245401","-18.582314892207137","-11.880147187664273","2249489","2288112","-1.6879855531547407","-"
"1131017","11309","1558","伸興","電機機械","731918","900973","735363","-18.763603348823995","-0.46847611315771936","6310081","5682602","11.042107119238686","-"
"1131017","11309","1560","中砂","電機機械","638126","586261","569539","8.84674232125282","12.042546691271362","5185889","4786463","8.3449093829828","-"
"1131017","11309","1563","巧新","汽車工業","597422","573255","707224","4.2157504077592","-15.525774012194157","5545633","5573485","-0.49972324317729394","-"
"1131017","11309","1568","倉佑","汽車工業","90435","77661","114056","16.44841039904199","-20.710002104229503","808428","1087218","-25.642511437448608","-"
"1131017","11309","1582","信錦","電子零組件業","739015","812293","886702","-9.021129075345964","-16.655764845461047","7148997","6508538","9.840289785509434","-"
"1131017","11309","1583","程泰","電機機械","364936","382913","486883","-4.6948001243102215","-25.046469069571128","3312080","3888260","-14.81845349848004","-"
"1131017","11309","1587","吉茂","汽車工業","182886","173296","145650","5.533884221216877","25.5653964984552","1562734","1616285","-3.31321518172847","-"
"1131017","11309","1589","永冠-KY","電機機械","647069","620426","663609","4.294307459713165","-2.4924315372455768","5005980","6498608","-22.96842646917617","-"
"1131017","11309","1590","亞德客-KY","電機機械","2472535","2442223","2591877","1.2411642999021792","-4.604462325951425","23014319","22471562","2.4153060655062606","本月營業收入換算匯率為4.5178611;本年累計營業收入換算匯率為4.4433330。"
"1131017","11309","1597","直得","電機機械","84718","110720","82550","-23.484465317919074","2.6262870987280436","784373","838397","-6.443725347299669","-"
"1131017","11309","1598","岱宇","運動休閒","571519","556399","585465","2.7174743304714783","-2.3820382089450267","4847825","5415680","-10.485386876624911","-"
"1131017","11309","1603","華電","電器電纜","312564","312239","621451","0.10408693340678134","-49.70416010272733","3341991","3048200","9.63817990945476","-"
"1131017","11309","1604","聲寶","電器電纜","654600","777934","601230","-15.854044173413168","8.876802554762737","7178758","6914290","3.824948042387577","-"
"1131017","11309","1605","華新","電器電纜","14503449","14164800","16771119","2.3907785496441885","-13.521280243733289","132604335","146519676","-9.497250731021273","-"
"1131017","11309","1608","華榮","電器電纜","903344","987386","905462","-8.511564879388608","-0.2339137368547769","8654503","7187308","20.413693137959303","-"
"1131017","11309","1609","大亞","電器電纜","2415984","2713947","2174547","-10.978954268451078","11.102864182747027","22165095","19299572","14.847598692862205","-"
"1131017","11309","1611","中電","電器電纜","86346","104273","106450","-17.19237002867473","-18.885861906998592","863928","979989","-11.843092116340081","-"
"1131017","11309","1612","宏泰","電器電纜","475857","504488","459278","-5.675258876326097","3.609796245411276","4823172","4448558","8.421020924083715","-"
"1131017","11309","1614","三洋電","電器電纜","453701","493835","429345","-8.127005983780007","5.672827213546216","4402142","4569842","-3.669711119115278","-"
"1131017","11309","1615","大山","電器電纜","481466","664055","469649","-27.496065837920053","2.5161343897250927","4404525","3500662","25.819773517123334","-"
"1131017","11309","1616","億泰","電器電纜","487542","355497","307904","37.14377336517608","58.34221055913532","3350117","2901643","15.455864143176814","本期係因訂單需求增加所致"
"1131017","11309","1617","榮星","電器電纜","289270","291704","256351","-0.8344074815566465","12.841377642373152","2515341","2116173","18.86273003199644","-"
"1131017","11309","1618","合機","電器電纜","276802","489016","478542","-43.39612609812358","-42.15721922004756","3321888","3180544","4.444019639407598","-"
"1131017","11309","1626","艾美特-KY","電器電纜","555884","336236","524592","65.32554515280934","5.965016622441821","6621325","6914498","-4.2399751941500305","-"
"1131017","11309","1702","南僑","食品工業","2098827","2010429","2037307","4.396971989560437","3.019672538306696","17436367","16799390","3.7916674355437907","-"
"1131017","11309","1707","葡萄王","生技醫療業","1232496","838643","765446","46.963129722659104","61.016714438379715","8005024","7435046","7.666099174100604","主係產品為反映成本，即將調漲價格，客戶提前購買所致。"
"1131017","11309","1708","東鹼","化學工業","559176","553054","449308","1.1069443490147435","24.452713951231672","4679527","4405903","6.2103954626327456","-"
"1131017","11309","1709","和益","化學工業","781295","1134128","845980","-31.11050957211179","-7.646161847797821","8100027","7202243","12.465338922888328","-"
"1131017","11309","1710","東聯","化學工業","2072475","2111272","1764907","-1.837612586156592","17.426867251362253","18186083","15731116","15.605803173786272","無"
"1131017","11309","1711","永光","化學工業","675314","666625","734490","1.3034314644665292","-8.056746858364308","6137067","5918473","3.693418893690991","-"
"1131017","11309","1712","興農","化學工業","1553265","1632276","1860207","-4.840541673099402","-16.500421727259386","14568862","14594558","-0.17606562665344164","-"
"1131017","11309","1713","國化","化學工業","32031","35819","40844","-10.575392947876825","-21.577220644403095","374971","346619","8.17958623156838","-"
"1131017","11309","1714","和桐","化學工業","1725230","1768998","1941684","-2.4741689928422756","-11.147745977203293","14483131","14979465","-3.3134294182068587","-"
"1131017","11309","1717","長興","化學工業","3618106","3958986","3916160","-8.61028556302043","-7.6108739173067494","32923653","31692726","3.8839416969054668","-"
"1131017","11309","1718","中纖","化學工業","2747430","4416853","3420387","-37.7966620125234","-19.6748788952829","32532373","29377964","10.73733019755896","本月份自結異業別合併營收資訊，未經會計師簽證或核閱。"
"1131017","11309","1720","生達","生技醫療業","577357","592546","495586","-2.563345293023664","16.499860770885377","5116587","4647391","10.095901119574402","-"
"1131017","11309","1721","三晃","化學工業","231382","186050","206090","24.365493147003495","12.272308214857587","1796226","1597691","12.426370305647337","-"
"1131017","11309","1722","台肥","化學工業","1025790","995648","966873","3.027375136594459","6.093561408788951","9170941","12382418","-25.93578249417844","-"
"1131017","11309","1723","中碳","化學工業","512032","876636","530119","-41.59126478949074","-3.4118754468336356","5858849","6403677","-8.508049359766272","-"
"1131017","11309","1725","元禎","化學工業","606712","763853","604467","-20.572151971648996","0.37140158188949934","6107706","5644888","8.198887205556602","-"
"1131017","11309","1726","永記","化學工業","776108","766451","699926","1.2599631287583941","10.88429348245386","6869449","6828037","0.6064993496666758","-"
"1131017","11309","1727","中華化","化學工業","202054","218497","151735","-7.525503782660632","33.16242132665502","1582564","1299069","21.822936272053294","-"
"1131017","11309","1730","花仙子","化學工業","207137","209393","218065","-1.0773999130820993","-5.0113498268864785","1896081","1958027","-3.163694882654836","-"
"1131017","11309","1731","美吾華","生技醫療業","116047","117280","105364","-1.0513301500682128","10.13913670703466","1109779","963924","15.131379652337737","本期森歐黎漾(Saholea)品牌產品出貨持續暢旺，累計營收較去年同期成長超過15%。"
"1131017","11309","1732","毛寶","化學工業","48823","47427","44484","2.943471018618087","9.754068878697959","445022","417962","6.474272780779114","-"
"1131017","11309","1733","五鼎","生技醫療業","186470","183290","115344","1.7349555349446233","61.66423914551255","1398215","1266309","10.416572890187151","由於客戶本月購買測試片較去年同期增加，故使本月營收較去年同期增加 61.66%"
"1131017","11309","1734","杏輝","生技醫療業","209681","280388","265696","-25.217555672853333","-21.08236480790076","2296658","2215917","3.6436834051094875","-"
"1131017","11309","1735","日勝化","化學工業","217873","232662","208998","-6.356431217818122","4.246452119159035","1981751","1750026","13.241231844555452","-"
"1131017","11309","1736","喬山","運動休閒","4688781","4069705","3607836","15.211815106991784","29.961034814221044","30411927","25347585","19.97958385384643","-"
"1131017","11309","1737","臺鹽","食品工業","284881","298472","332827","-4.553525958883915","-14.40568223130936","2455952","2645250","-7.156147812116057","-"
"1131017","11309","1752","南光","生技醫療業","188749","185296","167453","1.8635048786805974","12.71759837088616","1620655","1633918","-0.8117298420116554","-"
"1131017","11309","1760","寶齡富錦","生技醫療業","130967","240350","115669","-45.5098814229249","13.225669799168317","1507106","1353209","11.372744343261093","-"
"1131017","11309","1762","中化生","生技醫療業","123658","155812","74242","-20.6364079788463","66.5607068775087","1061050","1631089","-34.948368850504174","當月營收較去年同期增加，主係部份產品出貨增加。"
"1131017","11309","1773","勝一","化學工業","960837","1053025","875068","-8.754587972745187","9.801409719016123","8162033","7297104","11.853044714725185","-"
"1131017","11309","1776","展宇","化學工業","100174","101377","109181","-1.186659695986269","-8.249603868805012","896353","875051","2.4343723965803137","-"
"1131017","11309","1783","和康生","生技醫療業","63049","54937","44422","14.766004696288476","41.93192562243933","475016","473373","0.3470835894738399","-"
"1131017","11309","1786","科妍","生技醫療業","60324","85867","56688","-29.74716713056238","6.414055884843353","628113","509741","23.22198920628319","-"
"1131017","11309","1789","神隆","生技醫療業","265990","211846","279394","25.55818849541648","-4.797526074289355","2369808","2062919","14.876444494427556","-"
"1131017","11309","1795","美時","生技醫療業","1186821","1325338","1100388","-10.451447102550445","7.854774861230766","14175276","13538873","4.700561117605579","-"
"1131017","11309","1802","台玻","玻璃陶瓷","3225767","3468295","4106296","-6.992715440872244","-21.4433883967449","30942019","33594501","-7.89558386356148","-"
"1131017","11309","1805","寶徠","建材營造","43","617","631","-93.03079416531604","-93.18541996830427","4706","144028","-96.73257977615464","當月營收減少主係子公司租賃業務經營模式調整；去年累計營收較高主要係認列康橋旭案收入較高所致。"
"1131017","11309","1806","冠軍","玻璃陶瓷","275590","321092","236456","-14.171016406512775","16.550224989004295","2570061","2259439","13.747748888108951","-"
"1131017","11309","1808","潤隆","建材營造","570068","458524","7714736","24.326752798108714","-92.61066094808689","8591185","24466915","-64.88652124716172","營收變動主要係本月及本期累計工程及房地出售收入皆較去年同期減少所致。"
"1131017","11309","1809","中釉","玻璃陶瓷","189291","184735","211021","2.466235418301892","-10.29755332407675","1772024","1735611","2.0979931563005767","-"
"1131017","11309","1810","和成","玻璃陶瓷","373897","386280","394617","-3.205705705705706","-5.250660767275612","3553572","3602391","-1.355183265780977","-"
"1131017","11309","1817","凱撒衛","玻璃陶瓷","231799","242986","206731","-4.603968952943791","12.125902743178333","2012906","1786903","12.647748646680878","-"
"1131017","11309","1903","士紙","造紙工業","10993","14171","10464","-22.426081433914334","5.055428134556575","116080","129016","-10.026663359583308","-"
"1131017","11309","1904","正隆","造紙工業","5159848","3650543","3520373","41.34467119001201","46.57105937353798","33303855","30884503","7.833546811486654","-"
"1131017","11309","1905","華紙","造紙工業","1552185","1775946","1762610","-12.599538499481403","-11.938262009179569","15698351","15497310","1.2972638477258311","-"
"1131017","11309","1906","寶隆","造紙工業","243791","218130","251120","11.764085637005456","-2.9185250079643197","2477337","2530663","-2.107194833922968","-"
"1131017","11309","1907","永豐餘","造紙工業","6621413","6865287","6443074","-3.552276838535665","2.7679179224078445","57713276","54113742","6.651792810779931","-"
"1131017","11309","1909","榮成","造紙工業","4000098","3893113","4047348","2.7480579166338095","-1.1674311178579158","35106584","34420425","1.9934646361862178","-"
"1131017","11309","2002","中鋼","鋼鐵工業","26747619","29595067","29458618","-9.621360208442846","-9.202736530274434","273941867","274932250","-0.36022801981215374","-"
"1131017","11309","2006","東和鋼鐵","鋼鐵工業","4541875","5290398","5370273","-14.148708660482633","-15.42562175144541","45225337","44954866","0.6016501083553447","-"
"1131017","11309","2007","燁興","鋼鐵工業","629225","694419","380418","-9.388279986578707","65.40358237517678","5243030","3796049","38.11808014069365","由於下游各家鋼廠庫存逐漸去化，公司銷量增加，且因去年同期銷量相對較低，使得本月份營收較去年同期增加比例達50%。"
"1131017","11309","2008","高興昌","鋼鐵工業","105624","116389","120726","-9.249155848061243","-12.509318622334874","1090456","1136893","-4.0845532517132215","-"
"1131017","11309","2009","第一銅","鋼鐵工業","257054","279409","232627","-8.000816008074185","10.500500801712613","2336885","1922799","21.535584322646308","-"
"1131017","11309","2010","春源","鋼鐵工業","2039061","2053349","1777136","-0.6958388466841243","14.738601885280586","17569541","15921114","10.353716454765665","-"
"1131017","11309","2012","春雨","鋼鐵工業","831398","819512","668908","1.4503753453274633","24.291830864633102","6600043","6238440","5.796368964035881","-"
"1131017","11309","2013","中鋼構","鋼鐵工業","1602897","1443190","1338894","11.066249073233601","19.717991118042207","14257605","14239140","0.12967777548363174","-"
"1131017","11309","2014","中鴻","鋼鐵工業","1956661","2190260","3139403","-10.665354798060504","-37.6741055544637","24013724","28659061","-16.208964417920043","-"
"1131017","11309","2015","豐興","鋼鐵工業","2645006","2749966","2593196","-3.816774461938802","1.9979207125107397","25693266","25806336","-0.4381482129039938","-"
"1131017","11309","2017","官田鋼","鋼鐵工業","307510","314023","284502","-2.074051900656958","8.087113623102825","2472729","2348460","5.291510181139981","-"
"1131017","11309","2020","美亞","鋼鐵工業","413855","461820","599194","-10.386081157160799","-30.93138449316916","4074686","5556435","-26.66726057265135","-"
"1131017","11309","2022","聚亨","鋼鐵工業","689236","593804","898770","16.07129625263555","-23.3134172257641","5899009","6605724","-10.698524491789243","-"
"1131017","11309","2023","燁輝","鋼鐵工業","5821470","5186500","6775027","12.24274558951123","-14.074585975819728","56155388","54886164","2.312466216440267","-"
"1131017","11309","2024","志聯","鋼鐵工業","77005","88268","78405","-12.76000362532288","-1.785600408137236","803142","664270","20.90595691510982","-"
"1131017","11309","2025","千興","鋼鐵工業","53793","49327","231706","9.05386502321244","-76.78394171924766","689494","442452","55.83475721660203","本月營收衰退，主因是9月待進料入庫生產，致使9月份訂單，大部份須延遲至下月交貨。"
"1131017","11309","2027","大成鋼","鋼鐵工業","6922208","7499728","8054404","-7.700545939799417","-14.056856348402688","69043931","79678972","-13.347362212454247","-"
"1131017","11309","2028","威致","鋼鐵工業","828960","749916","719027","10.540380522618534","15.289133787743715","7836755","7742725","1.2144303200746507","-"
"1131017","11309","2029","盛餘","鋼鐵工業","1066034","1192771","972959","-10.625426003818001","9.566179047626878","9966769","8932768","11.575370590616481","-"
"1131017","11309","2030","彰源","鋼鐵工業","931929","1137370","1045025","-18.062811574070004","-10.822324824764959","9403287","9859857","-4.6305945410770155","-"
"1131017","11309","2031","新光鋼","鋼鐵工業","1068782","1223057","1461510","-12.613884716738468","-26.871386442788623","10499072","11946275","-12.114261558519287","-"
"1131017","11309","2032","新鋼","鋼鐵工業","238649","261872","236205","-8.868072951671046","1.034694439152431","2138441","2141446","-0.14032574251230243","-"
"1131017","11309","2033","佳大","鋼鐵工業","42216","48987","44607","-13.822034417294384","-5.360145268679804","421529","435490","-3.2058141403935796","-"
"1131017","11309","2034","允強","鋼鐵工業","1158954","1357518","1171231","-14.62698837142491","-1.0482133754997947","10434500","11774276","-11.378839769001509","土耳其子公司因處高度通貨膨脹環境，應依IAS 29編製財報，故其本年度營收已按土耳其消費者物價指數波動率重述。"
"1131017","11309","2038","海光","鋼鐵工業","740124","942167","704066","-21.444499754289843","5.121394869231009","7061993","6769443","4.321625870843436","-"
"1131017","11309","2049","上銀","電機機械","2164124","2041260","2161208","6.019027463429451","0.13492454220047306","18015869","18874992","-4.551646962287454","-"
"1131017","11309","2059","川湖","電子零組件業","821999","868862","506831","-5.393606809827107","62.184041623341905","7031155","3898180","80.37019840027911","去年適逢客戶開始庫存調整，經過去化庫存及導入新品後導致年對年增幅度較大。"
"1131017","11309","2062","橋椿","居家生活","572307","651276","682546","-12.125274077349696","-16.151145856836024","5842453","5442950","7.339824911123563","-"
"1131017","11309","2069","運錩","鋼鐵工業","748591","1020667","970934","-26.65668626496203","-22.89990874765947","7983110","9064453","-11.929489843457736","-"
"1131017","11309","2101","南港","橡膠工業","7027665","866206","718195","711.3156685592111","878.517672776892","13157121","5883212","123.63839684852424","本公告係屬自結數，如與公告財報有所差異，請以財報為準，另113.9月新增子公司-南榮營建收入62億元。"
"1131017","11309","2102","泰豐","橡膠工業","32753","24115","14898","35.8200290275762","119.84830178547456","188314","433508","-56.56043256410493","自美國反傾銷案及停產後,衝擊本公司營收,但本公司仍致力於拓展全球其它區域的銷售。"
"1131017","11309","2103","台橡","橡膠工業","3410390","3195688","2591132","6.718490666172667","31.617763973429373","27620063","23544682","17.309135880450626","-"
"1131017","11309","2104","國際中橡","橡膠工業","1312107","1634289","1586599","-19.713893931856607","-17.300653788386352","14103822","13427776","5.034683331029651","-"
"1131017","11309","2105","正新","橡膠工業","8461855","8745988","8594397","-3.248723872019948","-1.54219080175142","73495973","73386418","0.14928511703623415","無。"
"1131017","11309","2106","建大","橡膠工業","2848764","3053842","2891529","-6.715409638088676","-1.4789753102943115","26208174","25862352","1.337163766079744","-"
